Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Location
DM8479000T,210020119,Takoma Park Police Depart,Property Damage Crash,05/27/2021 07:40:00 PM,,,,IN PARKING LOT,,,OTHER,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,CF61C6EB-61C4-4627-9767-635D2F0174A6,No,NO APPARENT INJURY,N/A,UNKNOWN,MD,D3F480EE-638B-459A-BC20-533741BC4F76,SUPERFICIAL,ONE OCLOCK,OTHER,PARKED,,0,No,Yes,2017,HINO,TWK,38.98765667,-76.987545,(38.98765667 -76.987545)
MCP20160036,180040948,Montgomery County Police,Property Damage Crash,08/17/2018 02:25:00 PM,,,,PARKING LOT OF 16246 FREDERICK RD,,,OTHER,CLEAR,,DAYLIGHT,N/A,N/A,,E1D9F62E-0C17-4843-B797-4B97DFDF3E97,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,995C9706-91EC-48FC-8D2A-31759590E3EA,NO DAMAGE,SIX OCLOCK,PASSENGER CAR,BACKING,West,15,No,No,2015,MAZD,TK,38.743373,-77.54699707,(38.743373 -77.54699707)
EJ7879003C,230048975,Gaithersburg Police Depar,Injury Crash,08/11/2023 06:00:00 PM,,,,1 N SUMMIT DRIVE,,PEDESTRIAN,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,05FB7597-2EE7-4226-B6D6-DA0F41600023,Unknown,NO APPARENT INJURY,N/A,UNKNOWN,MD,EDF71D99-8A86-4CCD-BD22-3F32076A134A,NO DAMAGE,UNKNOWN,PASSENGER CAR,MOVING CONSTANT SPEED,Unknown,15,No,No,2018,RAM,TK,39.14587303,-77.19194047,(39.14587303 -77.19194047)
MCP2967004Y,230070277,Montgomery County Police,Property Damage Crash,12/06/2023 06:42:00 PM,Maryland (State),CONNECTICUT AVE,BALTIMORE ST,,KENSINGTON,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,STOP SIGN,N/A,,53FEE390-0B60-4017-B62C-489A78A68D2A,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,9870F867-5BC8-4ABB-BA69-A2E515C416CD,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35,No,No,2017,AUDI,A3,39.02517017,-77.07633333,(39.02517017 -77.07633333)
MCP3348000Z,230051804,Montgomery County Police,Injury Crash,08/28/2023 11:09:00 AM,Maryland (State),NORBECK RD,DRURY RD,,N/A,,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,39A7B821-025D-475F-99BF-DCBB3CA142A5,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,F0BED15C-7722-46F2-AC36-91B0233C4E16,FUNCTIONAL,SIX OCLOCK,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,East,30,No,No,2010,MERCEDES,ML360,39.11646167,-77.05053,(39.11646167 -77.05053)
MCP302600BD,230046425,Montgomery County Police,Property Damage Crash,07/27/2023 12:30:00 PM,County,GREENTREE RD,OLD GEORGETOWN RD,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,4C98B915-8E0C-409A-8C6F-E35F687F7073,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,9FBC1A94-64EC-4FE3-B53C-DEB168F8E6E1,FUNCTIONAL,NINE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,30,No,No,2022,HOND,PILOT,39.00014446,-77.10988077,(39.00014446 -77.10988077)
MCP2583003S,230074198,Montgomery County Police,Injury Crash,12/29/2023 04:40:00 PM,County,ELMER SCHOOL RD,CLUB HOLLOW RD,,N/A,,SINGLE VEHICLE,CLOUDY,DRY,DAYLIGHT,N/A,UNKNOWN,,415BB847-503D-4691-B241-9C33CA08849F,Yes,SUSPECTED MINOR INJURY,N/A,UNKNOWN,TX,DF8F53C6-27DC-42B4-82BB-6F3503D7433E,DESTROYED,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,UNKNOWN,West,30,No,No,2005,FORD,EXPLORER,39.14009241,-77.48402152,(39.14009241 -77.48402152)
MCP3372001V,230065250,Montgomery County Police,Property Damage Crash,11/10/2023 08:24:00 PM,Maryland (State),GEORGIA AVE,MAY ST,,N/A,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,7D65825F-4624-4171-8835-F19D982A1311,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,06AC7473-C1EC-4C3B-A509-61CCB64EA5A5,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,35,No,No,2016,TOYOTA,CAMRY,39.0724598,-77.06486034,(39.0724598 -77.06486034)
MCP3005007M,230060937,Montgomery County Police,Property Damage Crash,10/16/2023 07:33:00 PM,Maryland (State),GEORGIA AVE,LINDELL ST,,N/A,,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,A03C1D88-7100-4CDF-BF9A-A1CC883FB200,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,7BAFAB94-3F1C-4701-80DF-E581C742A7A2,DISABLING,ONE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,35,No,No,2021,HONDA,ACCORD,39.05440667,-77.05048833,(39.05440667 -77.05048833)
EJ786600CN,230057666,Gaithersburg Police Depar,Property Damage Crash,09/30/2023 10:34:00 AM,Municipality,PERRY PKWY,ENT TO SHOPPING CENTER,,N/A,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,A83DA54E-4E5C-4D94-80E5-DD30EB6DA308,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,2D836492-E4B0-4E7D-98B4-5AE21528DBA3,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,35,No,No,2002,HOND,ACCORD,39.14877898,-77.21343947,(39.14877898 -77.21343947)
